iter	Passed	Remaining
0	301	150461
1	314	78242
2	322	53427
3	330	41015
4	338	33493
5	343	28320
6	349	24587
7	355	21853
8	360	19680
9	365	17930
10	371	16500
11	376	15307
12	381	14302
13	386	13426
14	392	12690
15	397	12024
16	402	11432
17	407	10909
18	412	10452
19	417	10027
20	423	9651
21	428	9301
22	434	9002
23	439	8721
24	444	8447
25	449	8201
26	455	7974
27	460	7754
28	465	7562
29	470	7378
30	475	7200
31	481	7038
32	487	6903
33	494	6774
34	504	6703
35	511	6593
36	517	6476
37	523	6363
38	528	6245
39	533	6140
40	539	6040
41	545	5947
42	550	5854
43	556	5763
44	561	5676
45	567	5599
46	572	5519
47	577	5440
48	582	5362
49	587	5287
50	592	5218
51	598	5155
52	604	5098
53	610	5043
54	615	4983
55	621	4928
56	627	4876
57	632	4821
58	638	4769
59	643	4719
60	649	4670
61	654	4620
62	660	4580
63	666	4538
64	672	4502
65	679	4467
66	684	4426
67	690	4385
68	695	4342
69	700	4301
70	706	4268
71	712	4233
72	718	4200
73	723	4163
74	728	4129
75	734	4097
76	739	4061
77	744	4025
78	749	3991
79	754	3961
80	760	3932
81	765	3902
82	770	3870
83	775	3839
84	780	3811
85	785	3782
86	791	3756
87	797	3732
88	802	3704
89	807	3679
90	812	3652
91	817	3625
92	822	3599
93	828	3578
94	834	3559
95	840	3537
96	846	3517
97	856	3511
98	861	3489
99	866	3465
100	871	3442
101	876	3421
102	881	3398
103	887	3378
104	892	3357
105	897	3335
106	902	3315
107	907	3295
108	912	3274
109	918	3257
110	923	3237
111	929	3220
112	935	3202
113	940	3184
114	945	3166
115	951	3150
116	957	3133
117	962	3115
118	967	3098
119	972	3080
120	978	3063
121	982	3045
122	988	3030
123	993	3013
124	999	2997
125	1005	2983
126	1011	2969
127	1017	2955
128	1028	2956
129	1034	2942
130	1039	2927
131	1045	2915
132	1054	2909
133	1060	2896
134	1066	2882
135	1071	2868
136	1076	2852
137	1082	2840
138	1088	2825
139	1093	2810
140	1098	2795
141	1103	2782
142	1108	2768
143	1113	2753
144	1118	2738
145	1124	2725
146	1129	2711
147	1134	2698
148	1140	2687
149	1146	2674
150	1151	2662
151	1156	2648
152	1161	2634
153	1166	2621
154	1171	2607
155	1178	2598
156	1183	2585
157	1189	2575
158	1198	2569
159	1203	2557
160	1209	2546
161	1214	2533
162	1219	2520
163	1224	2509
164	1229	2496
165	1234	2484
166	1239	2471
167	1244	2459
168	1249	2447
169	1254	2435
170	1259	2423
171	1264	2412
172	1270	2400
173	1274	2388
174	1280	2377
175	1285	2366
176	1290	2355
177	1296	2344
178	1301	2333
179	1306	2322
180	1312	2312
181	1317	2301
182	1323	2292
183	1328	2281
184	1334	2271
185	1339	2261
186	1344	2250
187	1352	2244
188	1358	2235
189	1364	2226
190	1372	2220
191	1378	2210
192	1383	2200
193	1388	2189
194	1393	2179
195	1399	2169
196	1404	2159
197	1409	2149
198	1414	2138
199	1418	2128
200	1424	2118
201	1430	2109
202	1435	2100
203	1441	2091
204	1445	2080
205	1451	2070
206	1455	2060
207	1461	2051
208	1466	2041
209	1471	2032
210	1477	2023
211	1482	2014
212	1488	2005
213	1493	1995
214	1498	1986
215	1503	1976
216	1508	1967
217	1513	1957
218	1518	1948
219	1525	1941
220	1532	1935
221	1538	1925
222	1542	1916
223	1548	1907
224	1553	1898
225	1557	1888
226	1562	1879
227	1567	1870
228	1573	1861
229	1578	1853
230	1584	1845
231	1589	1836
232	1594	1827
233	1599	1818
234	1605	1810
235	1610	1801
236	1615	1792
237	1620	1783
238	1625	1775
239	1630	1766
240	1635	1757
241	1641	1750
242	1647	1742
243	1653	1734
244	1658	1726
245	1665	1719
246	1671	1712
247	1677	1704
248	1682	1696
249	1687	1687
250	1692	1679
251	1699	1672
252	1705	1665
253	1713	1659
254	1719	1652
255	1725	1644
256	1732	1637
257	1737	1630
258	1743	1622
259	1749	1615
260	1756	1608
261	1763	1601
262	1769	1594
263	1775	1587
264	1781	1580
265	1787	1572
266	1793	1565
267	1800	1558
268	1806	1551
269	1812	1543
270	1818	1536
271	1824	1529
272	1830	1522
273	1836	1515
274	1843	1507
275	1849	1500
276	1855	1493
277	1861	1486
278	1867	1479
279	1874	1473
280	1881	1466
281	1889	1460
282	1896	1453
283	1902	1446
284	1908	1439
285	1913	1431
286	1919	1424
287	1926	1417
288	1932	1410
289	1938	1403
290	1944	1396
291	1950	1389
292	1956	1382
293	1961	1374
294	1967	1367
295	1973	1360
296	1980	1353
297	1986	1346
298	1993	1340
299	2001	1334
300	2008	1327
301	2016	1321
302	2024	1315
303	2031	1309
304	2039	1303
305	2046	1297
306	2052	1290
307	2058	1283
308	2065	1276
309	2071	1269
310	2077	1262
311	2084	1255
312	2091	1249
313	2097	1242
314	2102	1234
315	2109	1228
316	2117	1222
317	2123	1215
318	2128	1207
319	2134	1200
320	2140	1193
321	2146	1186
322	2152	1179
323	2158	1172
324	2164	1165
325	2170	1158
326	2176	1151
327	2182	1144
328	2188	1137
329	2195	1131
330	2202	1124
331	2209	1118
332	2216	1111
333	2224	1105
334	2231	1099
335	2245	1095
336	2252	1089
337	2258	1082
338	2265	1075
339	2272	1069
340	2300	1072
341	2308	1066
342	2315	1059
343	2323	1053
344	2330	1047
345	2337	1040
346	2343	1033
347	2349	1026
348	2355	1019
349	2361	1012
350	2366	1004
351	2371	997
352	2378	990
353	2385	983
354	2392	977
355	2400	970
356	2407	964
357	2414	957
358	2421	951
359	2429	944
360	2436	938
